x,y,z,visible_cameras,nx,ny,nz
-25.6710,-58.8672,-75.7694,6.0000,0.2758,0.0021,0.9612
-16.8410,36.8958,-78.2073,6.0000,0.1804,-0.0003,0.9836
2.1706,24.9026,79.9706,7.0000,-0.0130,-0.0004,-0.9999
78.8482,-28.6281,-13.5263,6.0000,-0.9837,0.0001,0.1798
78.7787,-11.9597,-13.9251,6.0000,-0.9838,0.0011,0.1790
68.5663,-52.7815,41.2149,7.0000,-0.8633,-0.0051,-0.5046
2.5626,23.4905,79.9589,7.0000,-0.0130,-0.0004,-0.9999
59.8551,-41.0281,-53.0788,6.0000,-0.7594,-0.0004,0.6506
23.7497,-31.3457,76.3934,6.0000,-0.3060,0.0020,-0.9520
62.9782,-39.0695,-49.3331,6.0000,-0.7594,-0.0004,0.6506
79.8300,6.6371,5.2120,7.0000,-0.9937,0.0001,-0.1121
-79.6299,-6.2865,-7.6867,7.0000,0.9964,0.0006,0.0846
78.3516,-1.9661,-16.1564,6.0000,-0.9836,-0.0009,0.1801
45.1358,55.5677,66.0512,7.0000,-0.6031,-0.0002,-0.7977
64.8274,54.9915,46.8765,7.0000,-0.7969,0.0012,-0.6041
-10.9317,21.8681,79.2496,6.0000,0.1815,0.0001,-0.9834
-38.6054,-17.0317,-70.0687,7.0000,0.4761,-0.0002,0.8794
-57.0342,17.6828,-56.0990,6.0000,0.7473,-0.0008,0.6645
72.8290,21.0818,33.1049,7.0000,-0.9149,-0.0003,-0.4036
73.8124,-50.2232,-30.8500,7.0000,-0.9267,0.0001,0.3758
79.8374,-38.2880,-5.0976,7.0000,-0.9964,0.0008,0.0849
-41.3962,-26.0630,-68.4570,7.0000,0.5698,0.0027,0.8218
-78.8647,54.5511,-13.4300,6.0000,0.9834,-0.0007,0.1816
-79.7802,24.1247,5.9261,7.0000,0.9936,0.0002,-0.1126
-78.8988,21.2112,13.2282,6.0000,0.9778,0.0010,-0.2095
74.6131,-55.8189,-28.8597,7.0000,-0.9271,0.0013,0.3749
68.1093,-10.7111,41.9657,7.0000,-0.8634,0.0022,-0.5045
54.3686,57.9624,58.6861,6.0000,-0.7070,0.0033,-0.7072
-57.2007,53.7652,55.9293,6.0000,0.7363,-0.0018,-0.6767
74.7203,-47.4761,28.5810,7.0000,-0.9151,0.0016,-0.4033
-35.3422,40.7853,71.7700,7.0000,0.4754,0.0001,-0.8798
54.8679,-43.6389,-58.2195,6.0000,-0.6768,-0.0002,0.7362
-61.0330,13.8138,-51.7202,6.0000,0.7471,-0.0001,0.6648
-7.4170,-36.9622,-79.6554,7.0000,0.0838,-0.0006,0.9965
61.3241,3.1859,-51.3746,6.0000,-0.7589,-0.0007,0.6513
55.5570,-1.2171,-57.5623,6.0000,-0.6785,0.0005,0.7346
-64.6648,-46.3135,-47.1006,7.0000,0.8201,0.0016,0.5723
-59.8082,-1.8752,53.1317,6.0000,0.7357,-0.0019,-0.6773
-73.4961,-6.0389,-31.5963,7.0000,0.9267,-0.0008,0.3758
-27.8771,13.1503,74.9858,7.0000,0.3754,-0.0001,-0.9269
18.2664,4.4921,-77.8867,6.0000,-0.2083,-0.0005,0.9781
15.2713,-0.6179,-78.5289,6.0000,-0.2084,-0.0010,0.9780
-57.1718,-31.5285,55.9588,6.0000,0.7349,0.0014,-0.6782
73.1910,-11.4043,-32.2966,7.0000,-0.9260,-0.0010,0.3775
30.3851,-18.0236,-74.0051,7.0000,-0.4065,0.0011,0.9136
-78.6944,3.1501,14.3940,6.0000,0.9779,-0.0015,-0.2088
-39.0680,49.9689,-69.8118,7.0000,0.4746,-0.0022,0.8802
-44.3278,2.7437,-66.5961,7.0000,0.5687,-0.0013,0.8226
78.2066,18.3645,-16.8440,6.0000,-0.9831,-0.0013,0.1828
4.5076,-17.0586,-79.8729,7.0000,-0.0129,-0.0007,0.9999
-12.1223,34.3466,79.0762,6.0000,0.1823,-0.0009,-0.9832
70.8359,-34.5064,37.1790,7.0000,-0.8639,-0.0009,-0.5036
-78.4723,-11.2053,15.5594,6.0000,0.9781,0.0004,-0.2080
-76.0466,10.2891,-24.8377,6.0000,0.9610,-0.0002,0.2765
-73.4259,-39.2750,-31.7591,7.0000,0.9257,0.0008,0.3784
74.7086,-55.8753,28.6117,7.0000,-0.9152,0.0035,-0.4030
48.4029,-12.8625,-63.6958,7.0000,-0.6030,0.0004,0.7977
62.9041,-46.8969,-49.4274,6.0000,-0.7592,0.0006,0.6509
60.6697,-46.9195,-52.1458,6.0000,-0.7592,0.0006,0.6509
-50.9012,-45.2154,61.7176,6.0000,0.6516,-0.0011,-0.7586
79.9953,-32.9900,0.8673,7.0000,-0.9999,0.0013,-0.0154
53.6321,-35.0325,59.3599,6.0000,-0.6639,-0.0009,-0.7478
54.9850,11.7592,58.1090,6.0000,-0.7079,0.0023,-0.7063
-17.4083,9.6501,-78.0830,6.0000,0.1834,0.0009,0.9830
-79.8786,8.7140,-4.4057,7.0000,0.9965,-0.0026,0.0834
63.3429,15.8811,-48.8638,7.0000,-0.8188,-0.0007,0.5740
68.7648,-36.4256,-40.8829,7.0000,-0.8788,0.0008,0.4772
-57.6769,-21.1431,55.4380,6.0000,0.7357,0.0009,-0.6773
-43.3175,-27.4175,-67.2577,7.0000,0.5698,0.0027,0.8218
-73.1274,-50.9384,-32.4404,7.0000,0.9265,0.0002,0.3763
63.7392,-19.7887,-48.3458,7.0000,-0.8192,-0.0009,0.5735
79.9208,26.2775,3.5597,7.0000,-0.9999,-0.0010,-0.0143
71.5543,-36.9967,-35.7769,7.0000,-0.8798,0.0010,0.4754
73.7998,3.9221,-30.8803,7.0000,-0.9269,0.0012,0.3754
-78.0096,-40.6198,-17.7340,6.0000,0.9834,-0.0012,0.1816
-32.4882,26.7516,73.1062,7.0000,0.3763,-0.0010,-0.9265
72.9714,40.4838,32.7898,7.0000,-0.9139,0.0002,-0.4059
-6.7538,-57.0972,79.7144,7.0000,0.0865,0.0016,-0.9963
68.8240,26.5279,40.7830,7.0000,-0.8641,0.0002,-0.5032
44.2259,-17.7763,66.6639,7.0000,-0.6041,-0.0012,-0.7969
76.8949,54.8933,-22.0720,6.0000,-0.9601,-0.0004,0.2796
-75.9170,21.4124,25.2310,6.0000,0.9517,-0.0017,-0.3069
27.3847,-46.1413,75.1670,6.0000,-0.3068,-0.0005,-0.9518
2.3589,40.3175,-79.9652,7.0000,-0.0153,0.0002,0.9999
71.0564,-50.7842,-36.7558,7.0000,-0.8803,0.0003,0.4745
70.9963,10.4818,-36.8718,7.0000,-0.8804,0.0007,0.4741
-25.9260,45.5145,-75.6825,6.0000,0.2801,0.0018,0.9600
-59.4173,13.4965,53.5685,6.0000,0.7371,0.0009,-0.6758
-35.0924,-15.4909,71.8924,7.0000,0.4761,0.0016,-0.8794
79.9182,-23.2467,3.6179,7.0000,-0.9999,0.0002,-0.0154
71.5931,-1.9091,-35.6991,7.0000,-0.8800,-0.0001,0.4750
-75.4831,-49.1271,-26.5009,7.0000,0.9265,0.0002,0.3763
13.7170,14.4552,-78.8153,6.0000,-0.2086,-0.0006,0.9780
79.9403,-8.9831,3.0893,7.0000,-0.9999,0.0007,-0.0146
79.9985,-29.5309,-0.4853,7.0000,-0.9999,0.0013,-0.0154
67.8806,-8.1150,42.3347,7.0000,-0.8634,0.0022,-0.5045
79.4006,-45.6953,9.7750,7.0000,-0.9936,-0.0001,-0.1126
38.0723,-7.8749,70.3598,7.0000,-0.5038,-0.0001,-0.8638
